Year,Month,State,usage
2021,12,PA,12213801
2021,12,RI,573039.48
2021,12,SC,6294214.8
2021,12,SD,1148742.7
2021,12,TN,7913180
2021,12,TX,33482067
2021,12,UT,2709053
2021,12,VA,10082369
2021,12,VT,482575.38
2021,12,WA,8609174.9
2021,12,WI,5875119.4
2021,12,WV,2812378.9
2021,12,WY,1422068
2021,11,AK,533550.31
2021,11,AL,6483346.4
2021,11,AR,3560032.2
2021,11,AZ,5392907.5
2021,11,CA,18754521
2021,11,CO,4231005.2
2021,11,CT,2095337.2
2021,11,DC,816778.51
2021,11,DE,843270.56
2021,11,FL,16615545
2021,11,GA,10390619
2021,11,HI,761331.86
2021,11,IA,4156420.2
2021,11,ID,1806142.8
2021,11,IL,10343555
2021,11,IN,7710594.4
2021,11,KS,2987714.8
2021,11,KY,5833975.3
2021,11,LA,6983173.7
2021,11,MA,3909236
2021,11,MD,4529518.5
2021,11,ME,848863.86
2021,11,MI,7770555.1
2021,11,MN,5221360.9
2021,11,MO,5696086.8
2021,11,MS,3551011
2021,11,MT,1185963
2021,11,NC,10234635
2021,11,ND,1939174.4
2021,11,NE,2505616.2
2021,11,NH,820072.15
2021,11,NJ,5268947.1
2021,11,NM,1937481.1
2021,11,NV,2627205.4
2021,11,NY,10667971
2021,11,OH,11481790
2021,11,OK,4676990.4
2021,11,OR,4316574.4
2021,11,PA,11090404
2021,11,RI,544139.04
2021,11,SC,5831218.2
2021,11,SD,1013880.4
2021,11,TN,7277782.6
2021,11,TX,32132007
2021,11,UT,2454656.4
2021,11,VA,10272832
2021,11,VT,433002.47
2021,11,WA,7199344
2021,11,WI,5358802.6
2021,11,WV,2731618.5
2021,11,WY,1305240.9
2021,10,AK,485394.78
2021,10,AL,6824437.5
2021,10,AR,3889697.9
2021,10,AZ,6092921.1
2021,10,CA,20641271
2021,10,CO,4409139.7
2021,10,CT,2042299.6
2021,10,DC,787454.38
2021,10,DE,842723.66
2021,10,FL,21325132
2021,10,GA,10860225
2021,10,HI,783374.64
2021,10,IA,4212222.9
2021,10,ID,1715859.8
2021,10,IL,10412441
2021,10,IN,7729049.5
2021,10,KS,3188173.9
2021,10,KY,5719048.5
2021,10,LA,7094273
2021,10,MA,3862003
2021,10,MD,4211422
2021,10,ME,873777.11
2021,10,MI,7853964.7
2021,10,MN,5196402.8
2021,10,MO,5745643.5
2021,10,MS,3938585.1
2021,10,MT,1090598.8
2021,10,NC,10254281
2021,10,ND,1776149.7
2021,10,NE,2452940.6
2021,10,NH,819770.25
2021,10,NJ,5391648.7
2021,10,NM,2077885
2021,10,NV,2885386.4
2021,10,NY,10999905
2021,10,OH,11639552
2021,10,OK,5008518.2
2021,10,OR,4132695.6
2021,10,PA,10958375
2021,10,RI,573444.95
2021,10,SC,6507014.4
2021,10,SD,989943.03
2021,10,TN,7629320
2021,10,TX,37536813
2021,10,UT,2513781.6
2021,10,VA,9662182.8
2021,10,VT,416605.65
2021,10,WA,6758492.2
2021,10,WI,5529281.7
2021,10,WV,2523163.3
2021,10,WY,1262784.3
2021,9,AK,459583.26
2021,9,AL,7536519.2
2021,9,AR,4598599.1
2021,9,AZ,8025905.3
2021,9,CA,23607687
2021,9,CO,4919773.4
2021,9,CT,2358788.5
2021,9,DC,821756.37
2021,9,DE,985779.88
2021,9,FL,23143470
2021,9,GA,12073475
2021,9,HI,759987.03
2021,9,IA,4296932.1
2021,9,ID,1920428.8
2021,9,IL,11511224
2021,9,IN,8414688.9
2021,9,KS,3822394.6
